,acronym,title,id,objective,startDate,endDate,durationM,status,ecMaxContribution,totalCost,energy_in_obj,energy_in_title,matches_keywords_in_objective,count_keywords_mathes
444,EmpowerMed,Empowering women to take action against energy poverty in the Mediterranean,847052,"In the Mediterranean countries, the coastal areas are facing several specific challenges when it comes to energy poverty, mainly connected with thermal comfort of dwellings. Buildings are scarcely isolated, often there are no heating systems in buildings, or those are highly inefficient, and the cooling component is more important than in other areas, calling for a diversity of energy services beyond heating. Women and women-led households are disproportionately affected by energy poverty, while women’s agency is highlighted in acting against energy poverty. Although there is some knowledge on the health impacts of energy poverty, involving health practitioners in the energy poverty action is rare.This is why the main objective of the project is to contribute to energy poverty abatement in the Mediterranean through a) implementing a set of practical energy efficiency and RES measures, tailored to empower households in energy poverty and specifically focused on women and health, b) assessing their efficiency and impacts to formulate policy recommendations and c) promoting policy solutions among key actors for stimulating action against energy poverty at local and EU level.The project will first build networks with local actors in pilot regions (WP1) and transfer knowledge and experience to build capacity of all involved actors for implementing practical measures (WP2). The core of the project is implementation of practical measures to tackle energy poverty, such as community approaches, household visits, do-it-yourself approaches, support for small investments and health workshops (WP3). The impacts and success of the implemented measures will be assessed and analysed (WP4) to support formulation of policy recommendations, which will be advocated among key actors to stimulate and support policies against energy poverty (WP5). Project results and outcomes will be disseminated among the target groups to ensure a wide reach out at local, national and EU level.",2019-09-01,2023-08-31,48.0,SIGNED,1982150.0,1982150.0,['energy'],['energy'],"['buildings', 'community']",2
449,PANTERA,Pan European Technology Energy Research Approach,824389,"Collaborative work is pivotal in the development work that the consortium proposes through the PANTERA CSA. Through this coordinated activity the consortium is confident that it will deliver a multi-dimensional platform of pan-European status and influence capable of leveraging coherence and trust as a pull towards enhanced R&I in energy systems centered around an integrated grid active and responsive. This proposed platform, can work for Local Energy Systems in an integrated PAN European Smart Grid with specific emphasis on the less privileged / low spending countries. It will bring together the attractiveness of successful partnerships being national, regional or European building through them the will for enhanced adaption to areas and partnerships that can broaden active participation for mutual benefit. Emphasis will be given to develop an innovative top-down and bottom-up approach for effectively identifying the key challenges in accelerating R&I activities in low spending countries. Formalize a governance structure capable of delivering targeted objectives that will bring under the same umbrella all active entities / stakeholders in the field of smart grids / storage and local energy systems to leverage synergies and maximize benefits. Develop enhanced knowledge-sharing mechanisms that help identify, discuss and structure the key R&I challenges. Deliver through the platform ready-made tools that will facilitate the collection of real data / results from on-going projects, build a useful shareable data repository, capable of supporting case studies of exploitable results, scenario building and local energy system analysis accessible by all interested stakeholders. Organize dedicated workshops which facilitate exchanges of experience and capacities between members of R&I community in collaboration with already on-going activities aiming to wider participation, strengthen objectives and extent impact of achieved results.",2019-01-01,2022-12-31,48.0,SIGNED,3888338.75,3888338.75,['energy'],['energy'],"['building', 'smart', 'community']",3
463,RIBuild,Robust Internal Thermal Insulation of Historic Buildings,637268,"RIBuild will strengthen the knowledge on how and under what conditions internal thermal insulation is to be implemented in historic buildings, without compromising their architectural and cultural values, with an acceptable safety level against deterioration and collapse of heavy external wall structures. The general objective of RIBuild is to develop effective, comprehensive decision guidelines to optimise the design and implementation of internal thermal insulation in historic buildings across the EU. RIBuild focuses on heavy external walls made of stone, brick and timber framing, as most historic buildings are made of these materials. The general objective is achieved through three main activities• To obtain a thorough knowledge level to characterise the eligibility of the building for a deep internal thermal insulation renovation. This knowledge is obtained through screening of historic buildings, investigation of material properties and threshold values for failure• To determine the conditions under which different internal insulation measures are reliable and affordable measures based on probabilistic modelling of the hygrothermal performance, the environmental impact and the cost/benefit• To develop a set of comprehensive decision guidelines  and a web-based assessment tool, which are demonstrated in a number of buildings. RIBuild addresses the most difficult retrofitting measure of historic buildings: internal thermal insulation. The adaption of knowledge developed by RIBuild contributes to sustainable historic buildings with improved energy efficiency implying an easier conversion of energy supply from inefficient fossil fuels to efficient renewable energy sources. RIBuild also assesses the hygrothermal performance of the building construction, thus no collateral damage occurs; in case of failure an easy roll back of the measures is possible. The guidelines and the web-tool developed in RIBuild strongly support the deep and holistic retrofitting approach which historic buildings face in the coming years.",2015-01-01,2020-06-30,66.0,CLOSED,4962375.0,5331375.0,['energy'],,"['building', 'buildings']",2
477,STRATCAT-CO2,Surface functionalization with thiols: a novel strategy in catalyst design for the efficient reduction of CO2 to C2 products,844288,"By enabling the use of CO2 as a medium for energy storage and as a feedstock for chemical production, the electrochemical reduction of CO2 (eCO2RR) is a potentially transformative technology for the European chemical and energy sectors in view of the European Union’s climate action roadmap. Ethanol and ethylene are high-value eCO2RR products with key roles as a fuel and as a chemical building block, respectively. However, current electrocatalysts are very inefficient in producing these multi-carbon compounds. This action proposes the investigation of an exciting and highly innovative strategy in eCO2RR catalysis—based on functionalizing the catalyst surface with tailored thiol ligands—with a clear potential to overcome the mechanistic hurdles toward C2 product formation. To this end, STRATCAT-CO2 will adopt an interdisciplinary approach combining model catalysts, state-of-the-art characterization, and a close synergy between experimental and theoretical research to gain a mechanistic understanding of surface functionalization that can guide catalyst development. In addition, this action will build bridges between fundamental efforts and electrode and device engineering to achieve breakthrough performance under conditions relevant for practical implementation. STRATCAT-CO2 will provide fresh perspectives in catalyst design for the eCO2RR and, by reaching the foreseen performance targets, set the basis for the development of new electrochemical processes for ethanol and ethylene production. Furthermore, this action will establish an intra-European interdisciplinary network between emerging researchers at DTU and TU Delft. STRATCAT-CO2 will allow the Experienced Researcher to consolidate a diverse set of technical competences uniquely suited for cutting-edge catalysis research, gain skills and credentials in teaching and supervision, and expand his collaboration network, thereby strengthening his career prospects toward achieving research independence.",2019-08-01,2021-07-31,24.0,SIGNED,207312.0,207312.0,['energy'],,"['building', 'climate']",2
488,CHEETAH,Changing Energy Efficiency Technology Adoption in Households,723716,"Modelling analyses typically suggest that policies accelerating the adoption of energy-efficient technologies (EETs) by overcoming barriers to energy efficiency in the residential sector provide benefits for individual households, the energy system and for society as a whole. Yet, implicit discount rates, employed to reflect households’ decision criteria and response to policy, are disputed in policy and academic circles. CHEETAH (CHanging Energy Efficiency Technology Adoption in Households) provides evidence-based input to energy efficiency policy design and evaluation, thereby supporting the market uptake of EETs in the EU residential sector. It contributes to the work programme by addressing the interrelations between microeconomic factors, sectoral energy demand and macroeconomic effects, relying on a consistent methodological framework.CHEETAH:• Provides empirical evidence on household response to established and new energy-efficiency policies and on factors driving adoption of EETs, accounting for differences across households, technologies, and countries. A multi-country survey (2000 interviews per country) will be carried out and analyzed econometrically• Assesses the impact of established and new policies energy demand in the EU residential sector until 2030 (meso-level). Established vintage stock energy models will be employed for appliances (FORECAST) and for buildings (Invert/EE-Lab) and linked with an agent-based modelling approach (ABM)• Explores the macro-level impacts of changes in microeconomic decision-making and energy-efficiency policy on employment, GDP and exports until 2030, relying on simulations with a recognized macroeconomic model for the EU (ASTRA)• Offers evidence-based recommendations for key energy efficiency policies and input for impact assessments and policy analysis at the three levels of analysis.• Communicates empirical findings to policy makers, national experts, the re-search community and the general public",2016-12-01,2019-11-30,36.0,CLOSED,1498708.75,1498708.75,['energy'],['energy'],"['energy demand', 'buildings', 'community']",3
533,NEWTRENDS,NEW TRENDS IN ENERGY DEMAND MODELING,893311,"The EU 2050 Long-term Strategy develops scenarios for a climate-neutral EU in 2050 that aim at full deployment of low-carbon technologies or assume increased climate awareness of EU citizens translating into lifestyle changes, consumer choices, and a more circular economy. While these scenarios integrate societal trends, further progress is necessary to enhance the empirical basis for such New Societal Trends and their representation in models. New Societal Trends have potentially a large (increasing or decreasing) impact on energy consumption and might lead to cross-sectoral demand shifts that go beyond extrapolation of presently observed trends (continuous trends) and may speed up when they are embraced by larger parts of the society (disruptive trends). Such trends include in particular: digitalisation of the economy and of private lives, Circular Economy and Low-carbon industry, and Shared Economy, which will be the main focus of the present project.The novelty of our project arises from three perspectives:A thematic perspective identifying and quantifying how New Societal Trends affect energy demand, using trend-evolution pathways.A methodological perspective combining qualitative (foresight methods) with quantitative cross-sectoral modelling and exploring how energy demand models are to be improved to represent New Societal Trends. Several well-established models build the core of this project (INVERT/EE-Lab, FORECAST bottom-up model family, PRIMES energy system model, GEM-E3(-FIT)). All of which have been used extensively in the EU context for long-term projections and will be enhanced in this project. Further, policies will be represented in the demand models that influence such trends in the light of the EE1 Principle. Finally, a data perspective enhancing the empirical basis for modelling the impact of new societal trends through exploitation of new data sources (e.g. smart meter data) and empirical data (e.g. on behavioural changes).",2020-09-01,2023-08-31,36.0,SIGNED,1999292.5,1999292.5,['energy'],['energy'],"['energy consumption', 'smart', 'energy demand', 'climate']",4
534,ENEFIRST,Making Energy Efficiency First principle operational,839509,"""""""Efficiency First"""" (E1st) is a fundamental principle applied to policymaking, planning and investment in the energy sector, which is gaining visibility in European energy and climate policy. ENEFIRST will help making the E1st principle more concrete and operational, better understand its relevance for energy demand and supply and its broader impacts across sectors and markets, focussing on the buildings sector. Its main objectives are to define the principle of E1st in practical terms, assess how it has been applied internationally and how it applies to the EU context, to assess the value of applying E1st across different policy areas for buildings’ end-use energy efficiency and to quantify the impacts of increased building energy efficiency for the future energy system in the EU, and to identify key policy areas for the application of E1st and develop policy proposals for its implementation in the EU Buildings Sector. The methodology of ENEFIRST has been designed in light of the novelty of the approach informed by a deep understanding of the current energy policy landscape and the existing practices of energy efficiency policy making and is based in three pillars a) identification of the most relevant policy areas where the E1st principle can be applied to achieve the highest impact in terms of energy system benefits, through screening 5 areas of potential application, modelling three scenarios and five modelling case studies and applying the E1st in three regions in the EU, b) application of the E1st in policy instruments, through assessing the applicability and transferability of international E1st approaches and quantifying the impacts of E1st (through modelling and multi-criteria analysis), and c) application of E1st through the design of policy instruments and the analysis of their application in country case studies. All the foreseen tasks will be carried out with the validation of experts’ groups that formulate the ENEFIRST Stakeholder Community.""",2019-09-01,2022-02-28,30.0,SIGNED,1499950.0,1499950.0,['energy'],['energy'],"['energy demand', 'building', 'climate', 'buildings', 'community']",5
535,G3P,Global Gravity-based Groundwater Product,870353,"Groundwater is one of the most important freshwater resources for mankind and for ecosystems. Assessing groundwater resources and developing sustainable water management plans based on this resource is a major field of activity for science, water authorities and consultancies worldwide. Due to its fundamental role in the Earth’s water and energy cycles, groundwater has been declared as an Essential Climate Variable (ECV) by GCOS, the Global Climate Observing System. The Copernicus Services, however, do not yet deliver data on this fundamental resource, nor is there any other data source worldwide that operationally provides information on changing groundwater resources in a consistent way, observation-based, and with global coverage. This gap will be closed by G3P, the Global Gravity-based Groundwater Product. The G3P consortium combines key expertise from science and industry across Europe that optimally allows to (1) capitalize from the unique capability of GRACE and GRACE-FO satellite gravimetry as the only remote sensing technology to monitor subsurface mass variations and thus groundwater storage change for large areas, (2) incorporate and advance a wealth of products on storage compartments of the water cycle that are part of the Copernicus portfolio, and (3) disseminate unprecedented information on changing groundwater storage to the global and European user communities, including a European use case as a demonstrator for industry potential in the water sector. In combination, the G3P development is a novel and cross-cutting extension of the Copernicus portfolio towards essential information on the changing state of water resources at European and global scales. G3P is timely given the recent launch of GRACE-FO that opens up the chance for gravity-based time series with sufficient length to monitor climate-induced and human-induced processes over more than 20 years, and to boost European space technology on board these satellites.",2020-01-01,2022-12-31,36.0,SIGNED,2923502.5,2923502.5,['energy'],,"['communities', 'climate']",2
635,EERAdata,Data-driven decision-support to increase energy efficiency through renovation in European building stock.,847101,"While EU policy assigns a primary role to Energy Efficiency (EE), the lack of a holistic understanding of the impact of EE investments has hindered its integration in the policy-making process. Coordination between demand and supply side of energy policy is not targeted, and there is need to gather the evidence on the benefits of EE in ecological and socio-economic terms as well as on its interactions with the broader policy context and energy market. The EERAdata project aims to address this challenge by supporting policy decisions and related stakeholders with an organic set of instruments to prioritise investments in energy efficiency in the context of the European building stock and its potential for renovation.The EERAdata project will develop and test a decision-support tool to help local administrations in the collection and processing of their building and demographic data towards an assessment and prioritization of EE measures in planning, renovating and constructing buildings. The tool will be operationalized through a software application capable of merging data from various sources, formats and fields, which will then model and assess the impact of energy efficiency investment in buildings across several categories of impact, and against a range of supply-side measures.Partner municipalities will participate to the design of the tool and test its application in regional pilots. The pilots will be part of a wider process of stakeholder engagement aimed at ensuring the usefulness of the different instruments, their applicability across different geographical and economic contexts, and its adoption beyond the life-span of the project. To this end, the project team will establish regional networks of stakeholders centred around the partner municipalities. These networks will be engaged throughout the project to bridge the gap between demand- and supply-side of energy policy.",2019-07-01,2021-12-31,30.0,SIGNED,1489031.63,1489033.13,['energy'],['energy'],"['building', 'buildings']",2
672,WEDISTRICT,Smart and local reneWable Energy DISTRICT heating and cooling solutions for sustainable living,857801,"The overall objective of WEDISTRICT is to demonstrate DHC as an integrated solution that exploits the combination of RES, thermal storage and waste heat recycling technologies to satisfy 100% of the heating and cooling energy demand in new DHC and up to 60-100% in retrofitted DHC.  For this purpose, the focus of WEDISTRICT is large-scale replication of best practice: better valorisation of local resources, like renewable and waste heat by making District Heating and Cooling networks more efficient in relation to the use of new resources. In parallel, systems will evolve to provide even more flexible solutions by the integration of innovative molten-salts based thermal storage, the interaction with other energy networks (electricity and gas) and the involvement of end-users (operators and consumers) through ICT-based control and decision making. Finally, to enable significant expansion, cost-effectiveness will be enhanced by transitioning from handicraft to more industrialised solutions that integrate LEAN methodologies to optimise processes and lower costs.",2019-10-01,2023-03-31,42.0,SIGNED,14972852.64,19146753.48,['energy'],['energy'],"['energy demand', 'district']",2
